topical_ophthalmic_medications_id,primary_name,canonical_name,aliases,category,active_mechanisms,flags,route,dosage_form,ophthalmic_administration,rxcui,pubchem_cid,components,evidence_sources,curation_status
topical_ophthalmic_0074,Cyclopentolate,Cyclopentolate,cyclopentolate hydrochloride ophthalmic,mydriatic_cycloplegic,muscarinic_receptor_antagonist,anticholinergic|mydriatic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,3001,,,DrugBank DB00979|PubMed,source_partial
topical_ophthalmic_0075,Homatropine,Homatropine,homatropine hydrobromide ophthalmic,mydriatic_cycloplegic,muscarinic_receptor_antagonist,anticholinergic|mydriatic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,27084,,,DrugBank DB00725|PubMed,source_partial
topical_ophthalmic_0076,Scopolamine,Scopolamine,scopolamine hydrobromide ophthalmic,mydriatic_cycloplegic,muscarinic_receptor_antagonist,anticholinergic|mydriatic|systemic_absorption_high,ophthalmic,ophthalmic,topical,9601,,,DrugBank DB00747|PubMed,source_partial
topical_ophthalmic_0077,Tropicamide,Tropicamide,tropicamide ophthalmic,mydriatic_cycloplegic,muscarinic_receptor_antagonist,anticholinergic|mydriatic|systemic_absorption_low,ophthalmic,ophthalmic,topical,10869,,,DrugBank DB00809|PubMed,source_partial
topical_ophthalmic_0078,Phenylephrine,Phenylephrine,phenylephrine hydrochloride ophthalmic,mydriatic,alpha1_adrenergic_agonist,hypertension_risk|mydriatic|sympathomimetic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,8163,,,DrugBank DB00388|PubMed,source_partial
topical_ophthalmic_0079,Proparacaine,Proparacaine,proparacaine hydrochloride ophthalmic,anesthetic_topical,sodium_channel_blocker,anesthetic|systemic_absorption_low,ophthalmic,ophthalmic,topical,34905,,,DrugBank DB00807|PubMed,source_partial
topical_ophthalmic_0080,Tetracaine,Tetracaine,tetracaine hydrochloride ophthalmic,anesthetic_topical,sodium_channel_blocker,anesthetic|systemic_absorption_low,ophthalmic,ophthalmic,topical,10391,,,DrugBank DB00445|PubMed,source_partial
topical_ophthalmic_0081,Lidocaine,Lidocaine,lidocaine ophthalmic gel,anesthetic_topical,sodium_channel_blocker,anesthetic|antiarrhythmic|systemic_absorption_low,ophthalmic,ophthalmic,topical,6387,,,DrugBank DB00281|PubMed,source_partial
topical_ophthalmic_0082,Benoxinate,Benoxinate,benoxinate hydrochloride,anesthetic_topical,sodium_channel_blocker,anesthetic|systemic_absorption_low,ophthalmic,ophthalmic,topical,18889,,,DrugBank DB00807|PubMed,source_partial
topical_ophthalmic_0083,Fluorescein,Fluorescein,fluorescein sodium ophthalmic,diagnostic_dye,diagnostic_contrast,diagnostic|dye|systemic_absorption_low,ophthalmic,ophthalmic,topical,25138,,,DrugBank DB00693|PubMed,source_partial
topical_ophthalmic_0084,Indocyanine green,Indocyanine green,ICG ophthalmic,diagnostic_dye,diagnostic_contrast,diagnostic|dye|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,5775,,,DrugBank DB00354|PubMed,source_partial
topical_ophthalmic_0085,Rose bengal,Rose bengal,rose bengal ophthalmic,diagnostic_dye,diagnostic_contrast,diagnostic|dye|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,9471,,,DrugBank DB00762|PubMed,source_partial
topical_ophthalmic_0086,Ranibizumab,Ranibizumab,ranibizumab intravitreal,anti_vegf_intravitreal,vegf_a_inhibitor,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,595060,,,DrugBank DB01276|PubMed,source_partial
topical_ophthalmic_0087,Aflibercept,Aflibercept,aflibercept intravitreal,anti_vegf_intravitreal,vegf_plgf_inhibitor,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,1232150,,,DrugBank DB01661|PubMed,source_partial
topical_ophthalmic_0088,Bevacizumab,Bevacizumab,bevacizumab intravitreal,anti_vegf_intravitreal,vegf_a_inhibitor,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,253337,,,DrugBank DB00112|PubMed,source_partial
topical_ophthalmic_0089,Brolucizumab,Brolucizumab,brolucizumab intravitreal,anti_vegf_intravitreal,vegf_a_inhibitor,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,2204915,,,DrugBank DB16546|PubMed,source_partial
topical_ophthalmic_0090,Faricimab,Faricimab,faricimab intravitreal,anti_vegf_intravitreal,vegf_a_ang2_inhibitor,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,2591519,,,DrugBank DB16647|PubMed,source_partial
topical_ophthalmic_0091,Naphazoline,Naphazoline,naphazoline ophthalmic,decongestant,alpha_adrenergic_agonist,sympathomimetic|systemic_absorption_medium|vasoconstrictor,ophthalmic,ophthalmic,topical,7247,,,DrugBank DB00882|PubMed,source_partial
topical_ophthalmic_0092,Tetrahydrozoline,Tetrahydrozoline,tetrahydrozoline ophthalmic,decongestant,alpha_adrenergic_agonist,sympathomimetic|systemic_absorption_medium|vasoconstrictor,ophthalmic,ophthalmic,topical,37935,,,DrugBank DB00714|PubMed,source_partial
topical_ophthalmic_0093,Dipivefrin,Dipivefrin,dipivefrin hydrochloride ophthalmic,glaucoma_other,prodrug_of_epinephrine_adrenergic_agonist,prodrug|sympathomimetic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,23410,,,DrugBank DB00449|PubMed,source_partial
topical_ophthalmic_0094,Lifitegrast,Lifitegrast,lifitegrast ophthalmic|Xiidra,dry_eye_anti_inflammatory,lfa1_icam1_inhibitor,anti_inflammatory|immunosuppressant|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,1801820,,,DrugBank DB11674|PubMed,source_partial
topical_ophthalmic_0095,Diquafosol,Diquafosol,diquafosol sodium ophthalmic,dry_eye_mucin_secretagogue,p2y2_receptor_agonist,dry_eye|mucin_stimulant|systemic_absorption_low,ophthalmic,ophthalmic,topical,,,,DrugBank DB06217|PubMed,source_partial
topical_ophthalmic_0096,Rebamipide,Rebamipide,rebamipide ophthalmic,dry_eye_mucin_secretagogue,mucin_production_stimulator,dry_eye|mucin_stimulant|systemic_absorption_low,ophthalmic,ophthalmic,topical,,,,DrugBank DB11934|PubMed,source_partial
topical_ophthalmic_0097,Hydroxypropyl cellulose,Hydroxypropyl cellulose,hydroxypropyl cellulose ophthalmic insert|Lacrisert,dry_eye_lubricant_insert,ocular_lubricant_insert,artificial_tear_insert|dry_eye|systemic_absorption_none,ophthalmic,ophthalmic,topical,27291,,,DrugBank DB09350|PubMed,source_partial
topical_ophthalmic_0098,Sodium hyaluronate,Sodium hyaluronate,sodium hyaluronate ophthalmic|hyaluronic acid,dry_eye_lubricant,viscosupplementation,artificial_tear|dry_eye|systemic_absorption_none,ophthalmic,ophthalmic,topical,42892,,,DrugBank DB08818|PubMed,source_partial
topical_ophthalmic_0099,Tobramycin/Dexamethasone,Tobramycin/Dexamethasone,TobraDex|tobramycin+dexamethasone ophthalmic,antibiotic_corticosteroid_combination,aminoglycoside|glucocorticoid,aminoglycoside|antibiotic|corticosteroid|systemic_absorption_high,ophthalmic,ophthalmic,topical,883815,,,DrugBank DB00684+DB01234|PubMed,source_partial
topical_ophthalmic_0100,Neomycin/Polymyxin B/Dexamethasone,Neomycin/Polymyxin B/Dexamethasone,Maxitrol|neomycin+polymyxinB+dexamethasone,antibiotic_corticosteroid_combination,aminoglycoside|polypeptide|glucocorticoid,aminoglycoside|antibiotic|corticosteroid|polypeptide|systemic_absorption_high,ophthalmic,ophthalmic,topical,216525,,,DrugBank DB00994+DB00781+DB01234|PubMed,source_partial
topical_ophthalmic_0101,Bacitracin/Polymyxin B,Bacitracin/Polymyxin B,bacitracin+polymyxin B ophthalmic|Polysporin,antibiotic_combination,cell_wall_synthesis_inhibitor|cell_membrane_disruptor,antibiotic|polypeptide|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,645555,,,DrugBank DB00626+DB00781|PubMed,source_partial
