ophthalmic_id,primary_name,category,absorption_tier,ophthalmic_administration,dosage_form,evidence_sources,curation_status
topical_ophthalmic_0060,Nepafenac,nsaid_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB01283|PubMed,source_partial
topical_ophthalmic_0061,Cyclosporine,immunosuppressant,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00091|PubMed,source_partial
topical_ophthalmic_0062,Tacrolimus,immunosuppressant,systemic_absorption_low,topical,ophthalmic,DrugBank DB00800|PubMed,source_partial
topical_ophthalmic_0063,Olopatadine,antihistamine_dual_action,systemic_absorption_low,topical,ophthalmic,DrugBank DB00768|PubMed,source_partial
topical_ophthalmic_0064,Ketotifen,antihistamine_mast_cell_stabilizer,systemic_absorption_low,topical,ophthalmic,DrugBank DB00920|PubMed,source_partial
topical_ophthalmic_0065,Epinastine,antihistamine_dual_action,systemic_absorption_low,topical,ophthalmic,DrugBank DB00751|PubMed,source_partial
topical_ophthalmic_0066,Azelastine,antihistamine,systemic_absorption_low,topical,ophthalmic,DrugBank DB00972|PubMed,source_partial
topical_ophthalmic_0067,Emedastine,antihistamine,systemic_absorption_low,topical,ophthalmic,DrugBank DB01093|PubMed,source_partial
topical_ophthalmic_0068,Bepotastine,antihistamine,systemic_absorption_low,topical,ophthalmic,DrugBank DB04935|PubMed,source_partial
topical_ophthalmic_0069,Alcaftadine,antihistamine,systemic_absorption_low,topical,ophthalmic,DrugBank DB08883|PubMed,source_partial
topical_ophthalmic_0070,Cromolyn sodium,mast_cell_stabilizer,systemic_absorption_low,topical,ophthalmic,DrugBank DB00186|PubMed,source_partial
topical_ophthalmic_0071,Nedocromil,mast_cell_stabilizer,systemic_absorption_low,topical,ophthalmic,DrugBank DB00716|PubMed,source_partial
topical_ophthalmic_0072,Lodoxamide,mast_cell_stabilizer,systemic_absorption_low,topical,ophthalmic,DrugBank DB00484|PubMed,source_partial
topical_ophthalmic_0073,Atropine,mydriatic_cycloplegic,systemic_absorption_high,topical,ophthalmic,DrugBank DB00572|PubMed,source_partial
topical_ophthalmic_0074,Cyclopentolate,mydriatic_cycloplegic,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00979|PubMed,source_partial
topical_ophthalmic_0075,Homatropine,mydriatic_cycloplegic,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00725|PubMed,source_partial
topical_ophthalmic_0076,Scopolamine,mydriatic_cycloplegic,systemic_absorption_high,topical,ophthalmic,DrugBank DB00747|PubMed,source_partial
topical_ophthalmic_0077,Tropicamide,mydriatic_cycloplegic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00809|PubMed,source_partial
topical_ophthalmic_0078,Phenylephrine,mydriatic,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00388|PubMed,source_partial
topical_ophthalmic_0079,Proparacaine,anesthetic_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB00807|PubMed,source_partial
topical_ophthalmic_0080,Tetracaine,anesthetic_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB00445|PubMed,source_partial
topical_ophthalmic_0081,Lidocaine,anesthetic_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB00281|PubMed,source_partial
topical_ophthalmic_0082,Benoxinate,anesthetic_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB00807|PubMed,source_partial
topical_ophthalmic_0083,Fluorescein,diagnostic_dye,systemic_absorption_low,topical,ophthalmic,DrugBank DB00693|PubMed,source_partial
topical_ophthalmic_0084,Indocyanine green,diagnostic_dye,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00354|PubMed,source_partial
topical_ophthalmic_0085,Rose bengal,diagnostic_dye,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00762|PubMed,source_partial
topical_ophthalmic_0086,Ranibizumab,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,DrugBank DB01276|PubMed,source_partial
topical_ophthalmic_0087,Aflibercept,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,DrugBank DB01661|PubMed,source_partial
topical_ophthalmic_0088,Bevacizumab,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,DrugBank DB00112|PubMed,source_partial
topical_ophthalmic_0089,Brolucizumab,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,DrugBank DB16546|PubMed,source_partial
topical_ophthalmic_0090,Faricimab,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,DrugBank DB16647|PubMed,source_partial
topical_ophthalmic_0091,Naphazoline,decongestant,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00882|PubMed,source_partial
topical_ophthalmic_0092,Tetrahydrozoline,decongestant,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00714|PubMed,source_partial
topical_ophthalmic_0093,Dipivefrin,glaucoma_other,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00449|PubMed,source_partial
topical_ophthalmic_0094,Lifitegrast,dry_eye_anti_inflammatory,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB11674|PubMed,source_partial
topical_ophthalmic_0095,Diquafosol,dry_eye_mucin_secretagogue,systemic_absorption_low,topical,ophthalmic,DrugBank DB06217|PubMed,source_partial
topical_ophthalmic_0096,Rebamipide,dry_eye_mucin_secretagogue,systemic_absorption_low,topical,ophthalmic,DrugBank DB11934|PubMed,source_partial
topical_ophthalmic_0097,Hydroxypropyl cellulose,dry_eye_lubricant_insert,systemic_absorption_none,topical,ophthalmic,DrugBank DB09350|PubMed,source_partial
topical_ophthalmic_0098,Sodium hyaluronate,dry_eye_lubricant,systemic_absorption_none,topical,ophthalmic,DrugBank DB08818|PubMed,source_partial
topical_ophthalmic_0099,Tobramycin/Dexamethasone,antibiotic_corticosteroid_combination,systemic_absorption_high,topical,ophthalmic,DrugBank DB00684+DB01234|PubMed,source_partial
topical_ophthalmic_0100,Neomycin/Polymyxin B/Dexamethasone,antibiotic_corticosteroid_combination,systemic_absorption_high,topical,ophthalmic,DrugBank DB00994+DB00781+DB01234|PubMed,source_partial
topical_ophthalmic_0101,Bacitracin/Polymyxin B,antibiotic_combination,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00626+DB00781|PubMed,source_partial
topical_ophthalmic_0102,Sulfacetamide/Prednisolone,antibiotic_corticosteroid_combination,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00634+DB00860|PubMed,source_partial
topical_ophthalmic_0103,Povidone-iodine,antiseptic,systemic_absorption_low,topical,ophthalmic,DrugBank DB14021|PubMed,source_partial
topical_ophthalmic_0104,Chlorhexidine,antiseptic,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00878|PubMed,source_partial
topical_ophthalmic_0105,Sodium chloride 5%,hyperosmotic,systemic_absorption_low,topical,ophthalmic,DrugBank DB14518|PubMed,source_partial
topical_ophthalmic_0106,Glycerin ophthalmic,hyperosmotic,systemic_absorption_low,topical,ophthalmic,DrugBank DB02153|PubMed,source_partial
topical_ophthalmic_0107,Mitomycin C,antimetabolite_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00305|PubMed,source_partial
topical_ophthalmic_0108,5-Fluorouracil,antimetabolite_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00544|PubMed,source_partial
topical_ophthalmic_0109,Acetylcholine intraocular,miotic_intraocular,minimal_systemic_absorption,intraocular,ophthalmic,DrugBank DB03145|PubMed,source_partial
topical_ophthalmic_0110,Carboxymethylcellulose,viscoelastic_surgical_aid,systemic_absorption_none,intraocular,ophthalmic,DrugBank DB15897|PubMed,source_partial
topical_ophthalmic_0111,Hydroxypropyl methylcellulose,viscoelastic_surgical_aid,systemic_absorption_none,intraocular,ophthalmic,DrugBank DB09345|PubMed,source_partial
topical_ophthalmic_0112,Accelidine,glaucoma_miotic,systemic_absorption_low,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0113,Conbercept,anti_vegf_intravitreal,minimal_systemic_absorption,intravitreal,ophthalmic,PubMed|Chinese FDA,source_partial
